───────────────────────────────────────────────────────────────────────────────
Language            Files       Lines    Blanks  Comments       Code Complexity
───────────────────────────────────────────────────────────────────────────────
JavaScript          5,509     708,899    49,797    84,749    574,353    100,660
───────────────────────────────────────────────────────────────────────────────
~3\weapon-regex-opt\main.js    40,634         0       769     39,865      6,720
~@babel\parser\lib\index.js    14,662         1         1     14,660      3,392
~@babel\parser\lib\index.js    14,662         1         1     14,660      3,392
~@babel\parser\lib\index.js    14,018         1         1     14,016      3,220
~les\ajv\dist\ajv.bundle.js     7,189       502       511      6,176      1,828
~les\ajv\dist\ajv.bundle.js     7,189       502       511      6,176      1,828
~s\dist\bundles\rxjs.umd.js     6,849       270       428      6,151      1,088
~es\esprima\dist\esprima.js     6,709        59       295      6,355      1,222
~ing-elements\dist\index.js     6,405         1       450      5,954        444
~odules\acorn\dist\acorn.js     6,262       717       698      4,847      1,494
~dules\acorn\dist\acorn.mjs     6,233       715       698      4,820      1,491
~eslintrc\dist\eslintrc.cjs     4,466       559     1,429      2,478        319
~es\esquery\dist\esquery.js     4,180        62       255      3,863        842
~squery\dist\esquery.esm.js     4,172        60       255      3,857        839
~es\js-yaml\dist\js-yaml.js     4,005       743       216      3,046        676
~es\js-yaml\dist\js-yaml.js     3,880       588       168      3,124        635
~s\js-yaml\dist\js-yaml.mjs     3,856       587       168      3,101        632
~dules\argparse\argparse.js     3,707       466       613      2,628        502
~query\dist\esquery.lite.js     3,470        35       179      3,256        726
~p\dist\source-map.debug.js     3,234       345     1,056      1,833        398
~p\dist\source-map.debug.js     3,234       345     1,056      1,833        398
~rce-map\dist\source-map.js     3,233       356     1,044      1,833        398
~rce-map\dist\source-map.js     3,233       356     1,044      1,833        398
~community\regexpp\index.js     3,042        14         1      3,027        535
~ommunity\regexpp\index.mjs     3,032        12         1      3,019        535
~ers\generated\lowercase.js     2,896         2         1      2,893          1
~idators\generated\index.js     2,797         2         1      2,794      1,243
~b\rules\utils\ast-utils.js     2,733       269     1,055      1,409        220
~_modules\esquery\parser.js     2,694       287         6      2,401        624
~slint\lib\linter\linter.js     2,676       317       645      1,714        210
~\full-chromium-versions.js     2,632         0         0      2,632          0
~nity\eslint-utils\index.js     2,607       176       458      1,973        312
~ity\eslint-utils\index.mjs     2,566       174       458      1,934        312
~s\commander\lib\command.js     2,509       255       843      1,411        295
~nalysis\code-path-state.js     2,370       289     1,209        872         94
~es\lodash.groupby\index.js     2,369        85       718      1,566        195
~cope\dist\eslint-scope.cjs     2,339       387       702      1,250        184
~eslint\lib\rules\indent.js     2,334       222       467      1,645        131
~est-runtime\build\index.js     2,316        14        96      2,206        223
~inclair\typebox\typebox.js     2,220         0       304      1,916        544
~\diff-match-patch\index.js     2,218       149       609      1,460        437
~core\underscore-node-f.cjs     2,163       226       375      1,562        409
~\src\ml_parser\entities.js     2,143         0        14      2,129          0
~derscore\underscore-umd.js     2,047       226       375      1,446        412
~s\underscore\underscore.js     2,047       226       375      1,446        412
~derscore\underscore-esm.js     2,039       226       376      1,437        409
~ules\lodash.merge\index.js     1,977       158     1,029        790        233
~ers\src\fake-timers-src.js     1,787       220       380      1,187        205
~ib\rules\no-unused-vars.js     1,739       227       416      1,096        164
~odules\json5\dist\index.js     1,737       306        89      1,342        260
~ules\js-yaml\lib\loader.js     1,733       266        49      1,418        324
~es\lib\definitions\core.js     1,726         2         1      1,723         57
~-chromium\full-versions.js     1,684         0         0      1,684          0
~\cjs\std__path\windows.cjs     1,678        34       582      1,062        426
~b\rules\no-extra-parens.js     1,669       175       284      1,210        145
~yaml\lib\js-yaml\loader.js     1,660       263        41      1,356        313
~t\esm\std__path\windows.js     1,656        33       582      1,041        426
~e_modules\semver\semver.js     1,643       230       181      1,232        272
~e_modules\semver\semver.js     1,643       230       181      1,232        272
~e_modules\semver\semver.js     1,643       230       181      1,232        272
~e_modules\semver\semver.js     1,643       230       181      1,232        272
~rule-tester\rule-tester.js     1,579       169       340      1,070        111
